gene_id,definitive_endoderm,endothelial,hepatic_endoderm,immature_hepatoblast,mature_hepatocyte,mesenchymal_stem_cell
gene_name-6,-0.18257418,-0.18257418,0.18257414,-0.18257418,-0.1825742,-0.18257418
gene_name-9,-0.18257417,-0.18257417,0.18257418,-0.18257417,-0.18257417,-0.18257417
gene_name-10,0.887206,0.039241366,-0.22708516,-1.383747,0.95404977,0.16889235
gene_name-20,-0.5617453,-0.29381752,0.21271186,-0.5617453,0.47618294,-0.40532988
gene_name-23,-0.26095596,-0.26095596,0.2609559,-0.26095596,-0.26095596,-0.26095596
gene_name-24,-0.67341584,0.35771316,-0.085382804,-0.67341584,0.3390392,-0.03562208
gene_name-31,-0.6420036,-0.2109131,-0.06796948,-0.6420036,0.8797062,0.14379933
gene_name-37,-0.3646454,-0.3646454,0.1754935,-0.3646454,-0.3646454,0.20281032
gene_name-47,-0.39091295,-0.39091295,-0.099881105,-0.39091295,0.45188403,0.5757908
gene_name-55,-0.3262544,-0.3262544,0.32625443,-0.3262544,-0.3262544,-0.3262544
gene_name-56,-0.92720735,0.30856293,-0.41932055,1.1331613,0.90495396,0.3652355
gene_name-57,-0.2585077,-0.2585077,0.25850767,-0.2585077,-0.2585077,-0.2585077
gene_name-75,-0.5146097,0.5932003,0.14533965,-0.5146097,-0.5146097,-0.5146097
gene_name-79,-0.18257418,-0.18257418,0.18257418,-0.18257418,-0.1825742,-0.18257418
gene_name-85,-0.18257418,0.9128709,-0.1825742,-0.18257418,-0.1825742,-0.18257418
gene_name-93,-0.34799984,-0.34799984,-0.22469574,-0.34799984,1.1910926,0.4466315
gene_name-96,-0.47856137,-0.12648682,-0.031682413,-0.5846324,-0.5846324,0.7849523
gene_name-100,-0.22593191,1.1296595,-0.2259319,-0.22593191,-0.22593193,-0.22593191
gene_name-101,-0.18257418,0.91287076,-0.1825742,-0.18257418,-0.1825742,-0.18257418
gene_name-102,-0.1825742,-0.1825742,-0.18257421,-0.1825742,1.6431676,-0.1825742
gene_name-103,0.49156275,0.42933255,0.15209141,0.3909736,-1.0313439,-0.4433078
gene_name-109,-0.18257418,-0.18257418,-0.1825742,-0.18257418,1.6431676,-0.18257418
gene_name-110,-0.1825742,-0.1825742,-0.18257421,-0.1825742,1.6431676,-0.1825742
gene_name-111,-0.18257418,-0.18257418,0.1825742,-0.18257418,-0.1825742,-0.18257418
gene_name-120,-0.25927866,-0.25927866,0.041239668,-0.25927866,-0.25927866,0.39483833
gene_name-129,-0.1825742,-0.1825742,0.18257414,-0.1825742,-0.1825742,-0.1825742
gene_name-134,-0.5089617,-0.020736743,-0.13496092,2.1062658,0.23862517,-0.03701639
gene_name-135,1.4555417,0.7401538,-0.2217178,-0.8257954,0.67646295,-0.6068276
gene_name-139,-0.18257418,-0.18257418,0.18257411,-0.18257418,-0.1825742,-0.18257418
gene_name-142,-0.38275316,-0.38275316,-0.21392986,2.1642709,1.7516537,-0.38275316
gene_name-146,-0.18257418,-0.18257418,0.18257414,-0.18257418,-0.1825742,-0.18257418
gene_name-148,-0.0444985,0.22338209,0.08080465,-0.2538313,-0.2538313,-0.2538313
gene_name-150,-0.38876227,-0.38876227,-0.033562,-0.38876227,1.7228593,-0.38876227
gene_name-154,-0.5633559,-0.07757659,0.105596356,-0.5633559,0.13911211,-0.097337484
gene_name-157,-0.5823328,-0.069268845,-0.06232582,-0.5823328,-0.28458682,0.65993154
gene_name-158,1.3268046,-0.802621,-0.28682268,0.650363,0.7470605,0.8194191
gene_name-161,-0.18257418,-0.18257418,0.18257411,-0.18257418,-0.1825742,-0.18257418
gene_name-166,-0.26240328,-0.26240328,0.26240328,-0.26240328,-0.26240328,-0.26240328
gene_name-178,-0.25736266,-0.25736266,0.25736272,-0.25736266,-0.25736266,-0.25736266
gene_name-183,-0.18257418,-0.18257418,-0.1825742,-0.18257418,-0.1825742,0.912871
gene_name-185,-0.18257418,-0.18257418,-0.1825742,-0.18257418,-0.1825742,0.9128709
gene_name-187,-0.26002803,-0.26002803,0.03657198,3.0918121,-0.26002803,-0.26002803
gene_name-188,-0.18797423,0.93987113,-0.18797423,-0.18797423,-0.18797423,-0.18797423
gene_name-192,-0.18257418,-0.18257418,-0.1825742,-0.18257418,-0.1825742,0.912871
gene_name-194,-0.6904435,-0.30622417,-0.11913829,1.2902858,-0.6904435,0.95793676
gene_name-203,0.47867367,0.12514116,-0.048084624,-0.6510896,-0.6510896,0.44424972
