gene_id,acinar,alpha,beta,delta,ductal,endothelial,epsilon,gamma,unclear
gene_name-2,-0.56780505,0.36122024,-0.47147855,-0.09174909,-1.1828246,-1.1828243,1.1238394,0.093807265,-0.41979617
gene_name-5,-0.16216876,-0.14014456,-0.0745705,-0.16216885,1.2522058,4.959476,-0.16216877,-0.16216883,-0.16216877
gene_name-11,2.5079226,-0.1629375,-0.08766259,-0.1629377,0.13391471,-0.16293775,-0.16293775,-0.16293773,2.4411056
gene_name-33,0.49250185,0.013386558,-0.17035921,-0.30291194,0.7180827,-0.43487266,-0.43487266,0.025593836,0.75891036
gene_name-44,-0.5093564,-0.12485382,-0.22745906,-0.15271933,0.27721205,-0.11247235,-0.5907188,1.0125393,0.6470232
gene_name-56,1.5216882,-0.20215866,-0.015553741,-0.29904917,1.4883636,-0.29904905,1.2125503,-0.15961237,2.028555
gene_name-57,0.050376575,0.12444335,-0.11019946,-0.2391902,0.3306817,0.66661173,-0.35059524,-0.30292726,-0.35059524
gene_name-59,-0.5599391,0.052756168,-0.12879218,0.7742799,0.08630777,-0.42876196,0.22307527,-0.52737415,-0.7291486
gene_name-63,-1.5397679,-0.015015014,0.4852705,0.19439715,-1.7168831,-1.7168831,-0.016118392,0.7388264,-1.7168831
gene_name-64,-0.83408064,-0.10194885,-0.28858906,0.43528655,-0.46215412,-0.9547431,-0.17015556,0.97489697,-0.4633007
gene_name-88,-0.10808227,-0.029938733,0.5539855,-0.32117796,-0.008342922,0.4360957,0.4308241,-0.40318778,2.2859757
gene_name-89,0.6498849,-0.18803357,0.19374257,-0.10898616,0.8125467,0.9647861,-0.470352,-0.060190808,-0.470352
gene_name-90,0.5834584,-0.15341,0.28427112,-0.013824803,0.18060933,-0.2330745,0.7921381,-0.0931623,0.8846648
gene_name-95,-0.16985345,-0.16985324,-0.16985328,1.183664,0.043675195,-0.16985345,-0.16985345,-0.16985331,-0.16985345
gene_name-96,-0.16928814,-0.16928832,-0.078737974,-0.1692881,1.544822,5.140558,-0.16928814,-0.16928807,-0.16928814
gene_name-99,-0.8514744,0.36260626,-0.08826719,0.026268333,-0.5329329,-0.67328596,0.86977106,-0.7577801,0.716169
gene_name-103,-0.09230247,0.03477511,-0.09230244,-0.09230249,-0.09230247,-0.092302494,-0.092302494,0.0868951,-0.092302494
gene_name-108,0.19742592,-0.08301218,-0.042835865,-0.009833416,0.51511896,0.8766322,-0.14059435,-0.1405944,4.4559503
gene_name-136,-0.24052957,0.033750664,-0.19126548,-0.17305052,-0.24052955,3.5703022,-0.24052957,0.10286961,-0.24052957
gene_name-159,-0.137722,-0.08969282,-0.04237482,-0.137722,1.7090259,0.53891605,-0.137722,-0.137722,-0.137722
gene_name-162,0.11004669,-0.11431496,0.47970968,-0.1408076,0.18199962,-0.14080752,-0.14080754,-0.1408076,-0.14080754
gene_name-169,0.06357368,-0.3757191,0.356847,0.46019387,-0.23862243,-0.51907724,2.7639194,0.54264647,0.72632265
gene_name-171,0.17743944,-0.07045766,-0.009787183,-0.17593151,0.85872096,0.53937143,0.42660722,-0.041352842,0.39773217
gene_name-172,-0.1141546,-0.11415477,0.024395328,-0.11415466,0.9105074,1.5715379,-0.114154615,-0.114154674,3.6468127
gene_name-174,0.14707461,0.022408783,0.10314123,-0.1482453,0.10024667,-0.14824523,-0.14824523,-0.14824529,-0.14824523
gene_name-182,-0.09363893,-0.052440636,0.044630043,0.08901445,-0.09363893,-0.09363895,-0.09363895,0.08660465,-0.09363895
gene_name-183,0.035489004,-0.036898565,-0.05438764,-0.04899601,0.66203403,-0.18076421,-0.18076423,0.017819056,-0.18076423
gene_name-185,0.60982275,-0.13742648,0.13865381,-0.05252583,1.0344828,0.80347544,-0.58118623,-0.29335067,-0.2934608
gene_name-186,-0.22185948,0.045369826,0.062366426,-0.035827108,-0.22185947,0.9713147,-0.22185948,-0.13944498,-0.22185948
gene_name-188,0.9221651,-0.2199324,0.27390328,0.032436,0.76706445,0.66019994,0.08682567,-0.27418917,0.27514076
gene_name-209,-0.122698225,0.09954924,-0.12269823,-0.12269827,-0.12269823,-0.122698225,-0.122698225,-0.0066590398,-0.122698225
gene_name-211,-0.76151884,0.3565502,0.11151,-0.6747033,-0.8320015,-0.8320015,-0.0322617,-0.16585565,-0.19940414
gene_name-216,-0.13802394,-0.13802376,-0.13802397,-0.04422727,0.3752518,7.503225,-0.13802397,-0.13802388,-0.13802397
gene_name-234,-0.13317558,-0.13317533,-0.009870858,-0.13317549,1.8640052,-0.13317555,-0.13317555,-0.13317549,3.3617153
gene_name-243,-0.10409774,-0.10409752,0.012090897,-0.1040978,1.5245782,-0.10409775,-0.10409775,-0.1040978,-0.10409775
