index,B-cell,CD14+ Monocyte,CD4 T-cell,CD8 T-cell,Dendritic cell,FCGR3A+ Monocyte,Megakaryocyte,NK cell
TNFRSF4,0.6434953,-0.22678491,-0.0071363184,-0.13849533,-0.24234727,0.011262298,-0.17101258,-0.2155745
CPSF3L,0.035390493,-0.086740896,-0.033356346,0.08654886,-0.0034108474,0.068691894,0.15895109,0.016686512
ATAD3C,0.019128077,-0.049705517,-0.019571465,0.005172725,-0.04970554,0.015552292,-0.04970562,-0.04970552
C1orf86,-0.010000248,0.14327918,-0.059007194,-0.09546135,0.16184855,-0.021383625,0.09854508,-0.03585813
RER1,0.058655016,0.15597725,-0.1993182,0.05812431,0.3274414,0.20029064,0.16997606,-0.19916156
TNFRSF25,0.3460997,-0.21694243,0.04707268,0.10492983,-0.13772745,0.02131492,-0.25311518,-0.24659093
TNFRSF9,-0.03854304,-0.04135135,-0.031345204,0.054134995,-0.061514847,0.06915417,0.15750864,-0.061514623
CTNNBIP1,-0.09320199,0.28081214,-0.108239695,-0.07081282,0.09793928,0.12987463,0.6104234,-0.16988054
SRM,0.04757407,-0.07890793,0.020549498,0.0856839,-0.17620233,-0.00085705443,0.40024617,-0.022238247
UBIAD1,0.08476267,-0.12752314,0.1256484,-0.03107861,-0.10940851,-0.031763818,-0.20293534,-0.05783154
DRAXIN,-0.050923042,-0.010638975,-0.005716657,-0.05092321,-0.050923243,0.014342544,-0.050923195,-0.021620302
TNFRSF1B,-0.11531866,0.3861854,-0.26336148,-0.12960148,1.1004891,0.055502005,-0.0034418646,-0.25061417
PRDM2,0.07511495,-0.029869026,-0.03748457,-0.026173528,-0.033363,0.025881032,-0.06554606,0.0640777
EFHD2,-0.27721632,0.49282843,-0.37367392,-0.05091254,0.57079023,0.95622206,0.5522738,-0.29509065
DDI2,0.05630689,-0.03164576,-0.051507924,0.0057514748,-0.008238404,0.008137038,0.039950322,0.026365861
SPEN,0.044349354,-0.01978077,-0.018479902,-0.039276075,0.05725131,0.046703596,0.05105712,-0.006575744
SDHB,0.002286734,0.2531063,-0.18117915,-0.13923809,0.3708083,-0.042550758,0.52335775,-0.057523504
CAPZB,0.24354075,-0.013780414,-0.20927496,-0.029441012,0.5566719,0.32583657,0.123747624,-0.2629679
CAMK2N1,-0.024618205,-0.047557835,-0.0023664178,0.039059043,-0.047557835,-0.047557835,-0.047557835,-0.047557835
CDA,-0.37044904,1.1414211,-0.35125816,-0.36635286,1.0604736,-0.33325672,-0.39589092,-0.38063672
C1QA,-0.10973748,0.07566876,-0.09475441,-0.10973749,0.941224,-0.06077048,0.021515906,-0.10973749
C1QC,0.0040144045,-0.0015908462,-0.041839078,-0.012982874,-0.041838765,-0.041838758,-0.04183877,-0.041838694
C1QB,-0.07661093,0.05839076,-0.061503608,-0.07661103,0.5064349,-0.07661127,-0.07661126,-0.076611035
ZNF436,-0.017476516,-0.00010305191,-0.0403447,0.017358249,-0.040344875,0.024852207,-0.040344942,-0.040344983
MDS2,0.11899071,-0.13905402,0.1448869,-0.12017382,-0.10983771,-0.09620719,-0.13905434,-0.0192723
PITHD1,0.13001125,-0.19337311,0.0017553405,0.01600616,-0.0035668241,0.19286895,0.41572118,-0.022782067
HMGCL,0.048482645,-0.03363832,-0.02312079,-0.061323628,0.08666849,0.107644476,0.16483963,-0.010334888
TMEM50A,0.09528958,-0.068831064,-0.12329499,0.20086177,0.0679202,0.35835785,0.14373448,-0.2419291
LDLRAP1,0.2899977,-0.29865858,0.33373043,-0.05190086,-0.29587135,-0.30191413,-0.26698616,-0.27419138
RP11-70P17.1,0.09164119,-0.063998945,-0.016252046,0.12170892,-0.09639338,-0.03147358,-0.096393324,-0.096393496
STMN1,-0.03713435,-0.20850217,0.02764321,0.1447454,-0.22099231,0.39943483,0.27440572,0.04800599
PDIK1L,0.05571683,-0.084367506,-0.016991999,0.0437912,-0.10012651,-0.05075656,-0.100126676,0.06708212
ZNF593,-0.072449766,0.14693382,-0.08933514,-0.031034788,0.4307396,-0.06992647,0.38039392,-0.09838741
TMEM222,0.030906234,-0.118028,-0.016816162,0.14288622,-0.07671101,-0.0048034787,-0.006055359,0.06264161
PPP1R8,-0.048040457,-0.09370237,0.050015736,0.027591735,0.10599895,0.23039597,-0.0046034753,-0.068776354
PTAFR,-0.11852568,0.46457708,-0.1401375,-0.16499335,0.22742167,-0.1223307,-0.009055452,-0.14642087
PHACTR4,0.0671939,-0.031224333,-0.06839868,0.06342864,-0.06420443,0.06644477,-0.014486803,-0.0024251223
SNHG12,0.119959235,-0.13104884,0.046683062,0.02019462,-0.11279008,-0.10917079,-0.1473218,0.042738333
TAF12,0.05032414,-0.031879585,-0.05314882,0.11038568,0.12553957,0.19749048,0.008664563,-0.16671912
YTHDF2,0.056011844,-0.1610037,0.044585668,0.051371086,-0.15214509,0.1948752,0.27186215,-0.011787722
PUM1,-0.020784808,0.09427774,-0.040246725,0.0018264357,0.15612675,-0.08514975,0.20473285,-0.085634924
SPOCD1,-0.032609202,-0.03260919,-0.03260938,-0.032609258,-0.03260931,-0.032609317,-0.032609332,-0.03260926
TMEM234,-0.01635513,0.082301736,-0.037700456,-0.0037202793,0.038268965,0.059347518,-0.023824932,-0.07073043
HDAC1,0.14535916,-0.18947354,-0.019081099,0.16608837,-0.14814267,0.19922842,0.037999988,-0.057192445
MARCKSL1,-0.12382303,0.07714328,-0.06282417,-0.18316495,0.5195694,-0.029395193,0.19583358,0.13240483
SMIM12,0.00028832644,0.0895174,-0.09093593,0.05914015,0.090439774,0.15188412,0.42839375,-0.14780323
AGO4,-0.06574802,0.13448967,-0.0472066,0.025170261,-0.10203932,0.012171586,0.25001383,-0.0744356
TRAPPC3,0.040192425,0.044617664,-0.06646966,-0.021753874,0.155329,0.14245664,0.3154971,-0.109132275
EVA1B,-0.04066648,0.08331178,-0.082520366,9.152546e-05,-0.015171735,0.08951177,0.28634766,-0.053125672
RRAGC,-0.043975033,-0.017841414,-0.046733335,0.12520145,0.11333705,0.0188598,0.37840626,-0.05269283
PPIE,-0.0037388266,-0.072411396,0.035674643,0.033598963,-0.089558154,0.30654484,0.022097744,-0.082647026
TRIT1,-0.012314134,-0.08163443,-0.0008684797,0.019471006,0.018363785,0.18299283,0.19831352,-0.03024415
PPT1,0.005209983,0.29760706,-0.08012086,-0.19135037,0.4435983,-0.23147893,0.7857791,-0.2432586
SMAP2,-0.14141865,0.18859047,-0.07118141,-0.13649058,0.30643183,-0.15673962,0.14714545,0.12164619
ZFP69,0.09935847,-0.06166602,-0.011605849,-0.07838588,-0.008256949,0.16157697,-0.097101375,-0.042522725
CITED4,-0.011630856,0.013826798,0.11982114,-0.033981647,-0.050800785,-0.17965113,0.1805379,-0.12105041
C1orf50,0.012864572,0.0048367516,-0.07920834,0.061605904,0.10745188,0.1352844,0.15463638,-0.04508353
EBNA1BP2,0.015397427,-0.057907455,-0.022609824,0.11568633,-0.041464873,-0.021010932,0.38207766,-0.007268957
ST3GAL3,-0.0015100449,-0.076963104,0.027045924,-0.018371448,-0.051083315,-0.09719754,-0.097197555,0.017542392
DMAP1,0.027132418,0.053196266,-0.07271997,0.036721345,-0.09607176,0.095303796,0.15117066,-0.019077884
ERI3,0.052885547,-0.023422442,-0.0007300779,-0.009357125,0.15983556,0.0705728,0.013165097,-0.12461228
PRDX1,0.14868335,0.14795658,-0.1622247,0.0012636954,0.42139983,-0.32693943,0.24115825,-0.13189933
FAAH,0.054911662,0.055184085,-0.04395069,-0.00639567,0.07615861,0.06632627,-0.15553333,-0.11465023
ATPAF1,0.033886332,-0.14325607,0.017197516,0.060819797,-0.029687593,0.0091695115,0.123337045,0.0698519
EFCAB14,0.048192613,-0.10093243,0.028608628,0.059766106,0.16834691,-0.07553048,0.17189111,-0.081201114
PDZK1IP1,-0.04616356,-0.04616356,-0.031101845,-0.04616356,0.023120327,-0.04616356,-0.04616356,-0.04616356
TAL1,-0.029452031,-0.029452069,0.00062129775,-0.029451957,-0.02945186,-0.02945186,-0.029451903,-0.029451951
SPATA6,0.011800081,0.0017846493,-0.07900914,-0.021083498,0.1435363,-0.07900904,0.101619616,0.009145553
ZCCHC11,0.03874657,-0.12824832,0.088041194,-0.10486568,-0.12126797,0.038713638,-0.070478216,0.1213411
SCP2,0.088625565,-0.037304617,-0.17761305,0.1029941,0.09620405,0.37950757,0.40575364,-0.080565214
HSPB11,-0.0081696035,-0.054234367,-0.0462762,0.14200535,-0.010553746,0.0018424131,0.15716207,0.021342164
SSBP3,-0.0075957337,0.035832133,-0.013119896,-0.018962283,-0.07169448,0.33375084,0.15777293,-0.14234821
ACOT11,-0.029266022,-0.032071758,-0.03714524,-0.023330748,0.086434886,-0.052216418,0.2619154,-0.022909688
PARS2,-0.0035138775,-0.009123425,-0.03433511,-0.04940153,-0.049401663,0.08111009,-0.049401637,-0.049401518
ATG4C,0.0612219,-0.0707862,-0.020694701,-0.011826027,-0.11833584,-0.067844965,0.15636434,0.1437503
PGM1,0.049646713,-0.008338352,-0.039981052,0.07938608,-0.024755627,0.08047473,0.08270694,-0.10636389
LRRIQ3,0.023124969,-0.02941567,-0.015559128,-0.04568106,-0.04568114,-0.045681134,-0.045681234,0.012894333
